PI_Name,Proposal_category,ProposalID,Science_category,Title,Module,Subarray,Instrument,PrimaryDitherType,PrimaryDithers,SubpixelPositions,SubpixelDitherType,CoordinatedParallel,ParallelInstrument,ObservationID,TileNumber,APTTemplate,ApertureOverride,ObservationName,DitherPatternType,ImageDithers,number_of_dithers,FiducialPointOverride,TargetID,TargetRA,TargetDec,ShortFilter,LongFilter,ShortPupil,LongPupil,ReadoutPattern,Groups,Integrations,FilterWheel,PupilWheel,NumOutputs,Mode,Grism,IntegrationsShort,GroupsShort,Dither,GroupsLong,ReadoutPatternShort,IntegrationsLong,Exposures,Wavelength,ReadoutPatternLong,Filter,EtcIdLong,EtcIdShort,EtcId,Tracking,row,entry_number,exposure,dither,aperture,targ1,targ2,ra,dec,basex,basey,dithx,dithy,v2,v3,idlx,idly,obs_label,obs_num,visit_num,act_id,visit_id,visit_group,sequence_id,observation_id,Date,PAV3,PointSourceCatalog,GalaxyCatalog,ExtendedCatalog,ExtendedScale,ExtendedCenter,MovingTargetList,MovingTargetSersic,MovingTargetExtended,MovingTargetConvolveExtended,MovingTargetToTrack,ImagingTSOCatalog,GrismTSOCatalog,BackgroundRate,DitherIndex,CosmicRayLibrary,CosmicRayScale,sw_ptsrc,sw_galcat,sw_ext,sw_extscl,sw_extcent,sw_movptsrc,sw_movgal,sw_movext,sw_movconv,sw_solarsys,sw_img_tso,sw_grism_tso,sw_bkgd,lw_ptsrc,lw_galcat,lw_ext,lw_extscl,lw_extcent,lw_movptsrc,lw_movgal,lw_movext,lw_movconv,lw_solarsys,lw_img_tso,lw_grism_tso,lw_bkgd,epoch_start_date,detector,pointing_aperture,date_obs,time_obs,nframe,nskip,namp,ra_ref,dec_ref,yamlfile,outputfits,superbias,linearity,saturation,gain,astrometric,photom,ipc,invert_ipc,pixelAreaMap,transmission,badpixmask,pixelflat,dark,lindark,use_JWST_pipeline,grism_source_image,grism_input_only,psfpath
William Blair,GO,00005,Galaxies and the IGM,NIRCam Example Observations,ALL,FULL,NIRCAM,NONE,1,1,STANDARD,false,False,001,None,NircamImaging,None,Simple Imaging Example,None,None,1,False,IMAGE-2,+47.52000,-10.09000,F200W,F444W,CLEAR,CLEAR,SHALLOW4,10,1,None,None,None,imaging,None,None,None,None,None,None,None,None,None,None,None,None,None,,sidereal,0,0,00001,1,NRCA1_FULL,1,IMAGE-2,47.52,-10.09,+0.000,+0.000,0.0,0.0,-0.328,-492.966,0.0,0.0,Simple Imaging Example,001,001,01,00005001001,01,1,V00005001001P0000000001101,2022-10-31 00:00:00,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,SUNMAX,1.0,None,None,/Users/spacegrey/polybox/thesis/simtools/mirage/NIRCAM/image2_data/source_catalog_file.cat,1.0,"1024,1024",None,None,None,True,None,None,None,medium,None,None,/Users/spacegrey/polybox/thesis/simtools/mirage/NIRCAM/image2_data/source_catalog_file.cat,1.0,"1024,1024",None,None,None,True,None,None,None,medium,2022-10-31 00:00:00,A1,NRCA1_FULL,2022-10-31,00:00:00.000,4,1,4,47.55409867379363,-10.09960304180251,jw00005001001_01101_00001_nrca1.yaml,jw00005001001_01101_00001_nrca1_uncal.fits,crds,crds,crds,crds,crds,crds,crds,True,crds,crds,crds,crds,,/Users/spacegrey/opt/anaconda3/envs/mirage/lib/python3.7/site-packages/mirage/reference_files/mirage_data/nircam/darks/linearized/A1/Linearized_Dark_and_SBRefpix_NRCNRCA1-DARK-60082202011_1_481_SE_2016-01-09T00h03m58_uncal.fits,True,False,False,/Users/spacegrey/opt/anaconda3/envs/mirage/lib/python3.7/site-packages/mirage/reference_files/mirage_data/nircam/gridded_psf_library
William Blair,GO,00005,Galaxies and the IGM,NIRCam Example Observations,ALL,FULL,NIRCAM,NONE,1,1,STANDARD,false,False,001,None,NircamImaging,None,Simple Imaging Example,None,None,1,False,IMAGE-2,+47.52000,-10.09000,F200W,F444W,CLEAR,CLEAR,SHALLOW4,10,1,None,None,None,imaging,None,None,None,None,None,None,None,None,None,None,None,None,None,,sidereal,0,0,00001,1,NRCA2_FULL,1,IMAGE-2,47.52,-10.09,+0.000,+0.000,0.0,0.0,-0.328,-492.966,0.0,0.0,Simple Imaging Example,001,001,01,00005001001,01,1,V00005001001P0000000001101,2022-10-31 00:00:00,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,SUNMAX,1.0,None,None,/Users/spacegrey/polybox/thesis/simtools/mirage/NIRCAM/image2_data/source_catalog_file.cat,1.0,"1024,1024",None,None,None,True,None,None,None,medium,None,None,/Users/spacegrey/polybox/thesis/simtools/mirage/NIRCAM/image2_data/source_catalog_file.cat,1.0,"1024,1024",None,None,None,True,None,None,None,medium,2022-10-31 00:00:00,A2,NRCA2_FULL,2022-10-31,00:00:00.000,4,1,4,47.55383253586473,-10.080803116255405,jw00005001001_01101_00001_nrca2.yaml,jw00005001001_01101_00001_nrca2_uncal.fits,crds,crds,crds,crds,crds,crds,crds,True,crds,crds,crds,crds,,/Users/spacegrey/opt/anaconda3/envs/mirage/lib/python3.7/site-packages/mirage/reference_files/mirage_data/nircam/darks/linearized/A2/Linearized_Dark_and_SBRefpix_NRCNRCA2-DARK-60082224241_1_482_SE_2016-01-09T00h10m36_uncal.fits,True,False,False,/Users/spacegrey/opt/anaconda3/envs/mirage/lib/python3.7/site-packages/mirage/reference_files/mirage_data/nircam/gridded_psf_library
William Blair,GO,00005,Galaxies and the IGM,NIRCam Example Observations,ALL,FULL,NIRCAM,NONE,1,1,STANDARD,false,False,001,None,NircamImaging,None,Simple Imaging Example,None,None,1,False,IMAGE-2,+47.52000,-10.09000,F200W,F444W,CLEAR,CLEAR,SHALLOW4,10,1,None,None,None,imaging,None,None,None,None,None,None,None,None,None,None,None,None,None,,sidereal,0,0,00001,1,NRCA3_FULL,1,IMAGE-2,47.52,-10.09,+0.000,+0.000,0.0,0.0,-0.328,-492.966,0.0,0.0,Simple Imaging Example,001,001,01,00005001001,01,1,V00005001001P0000000001101,2022-10-31 00:00:00,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,SUNMAX,1.0,None,None,/Users/spacegrey/polybox/thesis/simtools/mirage/NIRCAM/image2_data/source_catalog_file.cat,1.0,"1024,1024",None,None,None,True,None,None,None,medium,None,None,/Users/spacegrey/polybox/thesis/simtools/mirage/NIRCAM/image2_data/source_catalog_file.cat,1.0,"1024,1024",None,None,None,True,None,None,None,medium,2022-10-31 00:00:00,A3,NRCA3_FULL,2022-10-31,00:00:00.000,4,1,4,47.53473200910934,-10.099718224044638,jw00005001001_01101_00001_nrca3.yaml,jw00005001001_01101_00001_nrca3_uncal.fits,crds,crds,crds,crds,crds,crds,crds,True,crds,crds,crds,crds,,/Users/spacegrey/opt/anaconda3/envs/mirage/lib/python3.7/site-packages/mirage/reference_files/mirage_data/nircam/darks/linearized/A3/Linearized_Dark_and_SBRefpix_NRCNRCA3-DARK-60082245481_1_483_SE_2016-01-09T00h04m26_uncal.fits,True,False,False,/Users/spacegrey/opt/anaconda3/envs/mirage/lib/python3.7/site-packages/mirage/reference_files/mirage_data/nircam/gridded_psf_library
William Blair,GO,00005,Galaxies and the IGM,NIRCam Example Observations,ALL,FULL,NIRCAM,NONE,1,1,STANDARD,false,False,001,None,NircamImaging,None,Simple Imaging Example,None,None,1,False,IMAGE-2,+47.52000,-10.09000,F200W,F444W,CLEAR,CLEAR,SHALLOW4,10,1,None,None,None,imaging,None,None,None,None,None,None,None,None,None,None,None,None,None,,sidereal,0,0,00001,1,NRCA4_FULL,1,IMAGE-2,47.52,-10.09,+0.000,+0.000,0.0,0.0,-0.328,-492.966,0.0,0.0,Simple Imaging Example,001,001,01,00005001001,01,1,V00005001001P0000000001101,2022-10-31 00:00:00,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,SUNMAX,1.0,None,None,/Users/spacegrey/polybox/thesis/simtools/mirage/NIRCAM/image2_data/source_catalog_file.cat,1.0,"1024,1024",None,None,None,True,None,None,None,medium,None,None,/Users/spacegrey/polybox/thesis/simtools/mirage/NIRCAM/image2_data/source_catalog_file.cat,1.0,"1024,1024",None,None,None,True,None,None,None,medium,2022-10-31 00:00:00,A4,NRCA4_FULL,2022-10-31,00:00:00.000,4,1,4,47.53481833215328,-10.080834814151014,jw00005001001_01101_00001_nrca4.yaml,jw00005001001_01101_00001_nrca4_uncal.fits,crds,crds,crds,crds,crds,crds,crds,True,crds,crds,crds,crds,,/Users/spacegrey/opt/anaconda3/envs/mirage/lib/python3.7/site-packages/mirage/reference_files/mirage_data/nircam/darks/linearized/A4/Linearized_Dark_and_SBRefpix_NRCNRCA4-DARK-60082307391_1_484_SE_2016-01-09T00h04m08_uncal.fits,True,False,False,/Users/spacegrey/opt/anaconda3/envs/mirage/lib/python3.7/site-packages/mirage/reference_files/mirage_data/nircam/gridded_psf_library
William Blair,GO,00005,Galaxies and the IGM,NIRCam Example Observations,ALL,FULL,NIRCAM,NONE,1,1,STANDARD,false,False,001,None,NircamImaging,None,Simple Imaging Example,None,None,1,False,IMAGE-2,+47.52000,-10.09000,F200W,F444W,CLEAR,CLEAR,SHALLOW4,10,1,None,None,None,imaging,None,None,None,None,None,None,None,None,None,None,None,None,None,,sidereal,0,0,00001,1,NRCA5_FULL,1,IMAGE-2,47.52,-10.09,+0.000,+0.000,0.0,0.0,-0.328,-492.966,0.0,0.0,Simple Imaging Example,001,001,01,00005001001,01,1,V00005001001P0000000001101,2022-10-31 00:00:00,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,SUNMAX,1.0,None,None,/Users/spacegrey/polybox/thesis/simtools/mirage/NIRCAM/image2_data/source_catalog_file.cat,1.0,"1024,1024",None,None,None,True,None,None,None,medium,None,None,/Users/spacegrey/polybox/thesis/simtools/mirage/NIRCAM/image2_data/source_catalog_file.cat,1.0,"1024,1024",None,None,None,True,None,None,None,medium,2022-10-31 00:00:00,A5,NRCA5_FULL,2022-10-31,00:00:00.000,4,1,4,47.544367652021776,-10.090115709468282,jw00005001001_01101_00001_nrca5.yaml,jw00005001001_01101_00001_nrca5_uncal.fits,crds,crds,crds,crds,crds,crds,crds,True,crds,crds,crds,crds,,,True,False,False,/Users/spacegrey/opt/anaconda3/envs/mirage/lib/python3.7/site-packages/mirage/reference_files/mirage_data/nircam/gridded_psf_library
William Blair,GO,00005,Galaxies and the IGM,NIRCam Example Observations,ALL,FULL,NIRCAM,NONE,1,1,STANDARD,false,False,001,None,NircamImaging,None,Simple Imaging Example,None,None,1,False,IMAGE-2,+47.52000,-10.09000,F200W,F444W,CLEAR,CLEAR,SHALLOW4,10,1,None,None,None,imaging,None,None,None,None,None,None,None,None,None,None,None,None,None,,sidereal,0,0,00001,1,NRCB1_FULL,1,IMAGE-2,47.52,-10.09,+0.000,+0.000,0.0,0.0,-0.328,-492.966,0.0,0.0,Simple Imaging Example,001,001,01,00005001001,01,1,V00005001001P0000000001101,2022-10-31 00:00:00,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,SUNMAX,1.0,None,None,/Users/spacegrey/polybox/thesis/simtools/mirage/NIRCAM/image2_data/source_catalog_file.cat,1.0,"1024,1024",None,None,None,True,None,None,None,medium,None,None,/Users/spacegrey/polybox/thesis/simtools/mirage/NIRCAM/image2_data/source_catalog_file.cat,1.0,"1024,1024",None,None,None,True,None,None,None,medium,2022-10-31 00:00:00,B1,NRCB1_FULL,2022-10-31,00:00:00.000,4,1,4,47.48596314882118,-10.080226819243048,jw00005001001_01101_00001_nrcb1.yaml,jw00005001001_01101_00001_nrcb1_uncal.fits,crds,crds,crds,crds,crds,crds,crds,True,crds,crds,crds,crds,,/Users/spacegrey/opt/anaconda3/envs/mirage/lib/python3.7/site-packages/mirage/reference_files/mirage_data/nircam/darks/linearized/B1/Linearized_Dark_and_SBRefpix_NRCNRCB1-DARK-60082356471_1_486_SE_2016-01-09T02h47m00_uncal.fits,True,False,False,/Users/spacegrey/opt/anaconda3/envs/mirage/lib/python3.7/site-packages/mirage/reference_files/mirage_data/nircam/gridded_psf_library
William Blair,GO,00005,Galaxies and the IGM,NIRCam Example Observations,ALL,FULL,NIRCAM,NONE,1,1,STANDARD,false,False,001,None,NircamImaging,None,Simple Imaging Example,None,None,1,False,IMAGE-2,+47.52000,-10.09000,F200W,F444W,CLEAR,CLEAR,SHALLOW4,10,1,None,None,None,imaging,None,None,None,None,None,None,None,None,None,None,None,None,None,,sidereal,0,0,00001,1,NRCB2_FULL,1,IMAGE-2,47.52,-10.09,+0.000,+0.000,0.0,0.0,-0.328,-492.966,0.0,0.0,Simple Imaging Example,001,001,01,00005001001,01,1,V00005001001P0000000001101,2022-10-31 00:00:00,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,SUNMAX,1.0,None,None,/Users/spacegrey/polybox/thesis/simtools/mirage/NIRCAM/image2_data/source_catalog_file.cat,1.0,"1024,1024",None,None,None,True,None,None,None,medium,None,None,/Users/spacegrey/polybox/thesis/simtools/mirage/NIRCAM/image2_data/source_catalog_file.cat,1.0,"1024,1024",None,None,None,True,None,None,None,medium,2022-10-31 00:00:00,B2,NRCB2_FULL,2022-10-31,00:00:00.000,4,1,4,47.48590893671725,-10.099029414954222,jw00005001001_01101_00001_nrcb2.yaml,jw00005001001_01101_00001_nrcb2_uncal.fits,crds,crds,crds,crds,crds,crds,crds,True,crds,crds,crds,crds,,/Users/spacegrey/opt/anaconda3/envs/mirage/lib/python3.7/site-packages/mirage/reference_files/mirage_data/nircam/darks/linearized/B2/Linearized_Dark_and_SBRefpix_NRCNRCB2-DARK-60090021181_1_487_SE_2016-01-09T02h51m54_uncal.fits,True,False,False,/Users/spacegrey/opt/anaconda3/envs/mirage/lib/python3.7/site-packages/mirage/reference_files/mirage_data/nircam/gridded_psf_library
William Blair,GO,00005,Galaxies and the IGM,NIRCam Example Observations,ALL,FULL,NIRCAM,NONE,1,1,STANDARD,false,False,001,None,NircamImaging,None,Simple Imaging Example,None,None,1,False,IMAGE-2,+47.52000,-10.09000,F200W,F444W,CLEAR,CLEAR,SHALLOW4,10,1,None,None,None,imaging,None,None,None,None,None,None,None,None,None,None,None,None,None,,sidereal,0,0,00001,1,NRCB3_FULL,1,IMAGE-2,47.52,-10.09,+0.000,+0.000,0.0,0.0,-0.328,-492.966,0.0,0.0,Simple Imaging Example,001,001,01,00005001001,01,1,V00005001001P0000000001101,2022-10-31 00:00:00,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,SUNMAX,1.0,None,None,/Users/spacegrey/polybox/thesis/simtools/mirage/NIRCAM/image2_data/source_catalog_file.cat,1.0,"1024,1024",None,None,None,True,None,None,None,medium,None,None,/Users/spacegrey/polybox/thesis/simtools/mirage/NIRCAM/image2_data/source_catalog_file.cat,1.0,"1024,1024",None,None,None,True,None,None,None,medium,2022-10-31 00:00:00,B3,NRCB3_FULL,2022-10-31,00:00:00.000,4,1,4,47.50510005587076,-10.080237371709988,jw00005001001_01101_00001_nrcb3.yaml,jw00005001001_01101_00001_nrcb3_uncal.fits,crds,crds,crds,crds,crds,crds,crds,True,crds,crds,crds,crds,,/Users/spacegrey/opt/anaconda3/envs/mirage/lib/python3.7/site-packages/mirage/reference_files/mirage_data/nircam/darks/linearized/B3/Linearized_Dark_and_SBRefpix_NRCNRCB3-DARK-60090043151_1_488_SE_2016-01-09T02h53m21_uncal.fits,True,False,False,/Users/spacegrey/opt/anaconda3/envs/mirage/lib/python3.7/site-packages/mirage/reference_files/mirage_data/nircam/gridded_psf_library
William Blair,GO,00005,Galaxies and the IGM,NIRCam Example Observations,ALL,FULL,NIRCAM,NONE,1,1,STANDARD,false,False,001,None,NircamImaging,None,Simple Imaging Example,None,None,1,False,IMAGE-2,+47.52000,-10.09000,F200W,F444W,CLEAR,CLEAR,SHALLOW4,10,1,None,None,None,imaging,None,None,None,None,None,None,None,None,None,None,None,None,None,,sidereal,0,0,00001,1,NRCB4_FULL,1,IMAGE-2,47.52,-10.09,+0.000,+0.000,0.0,0.0,-0.328,-492.966,0.0,0.0,Simple Imaging Example,001,001,01,00005001001,01,1,V00005001001P0000000001101,2022-10-31 00:00:00,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,SUNMAX,1.0,None,None,/Users/spacegrey/polybox/thesis/simtools/mirage/NIRCAM/image2_data/source_catalog_file.cat,1.0,"1024,1024",None,None,None,True,None,None,None,medium,None,None,/Users/spacegrey/polybox/thesis/simtools/mirage/NIRCAM/image2_data/source_catalog_file.cat,1.0,"1024,1024",None,None,None,True,None,None,None,medium,2022-10-31 00:00:00,B4,NRCB4_FULL,2022-10-31,00:00:00.000,4,1,4,47.50518220607455,-10.099100592321888,jw00005001001_01101_00001_nrcb4.yaml,jw00005001001_01101_00001_nrcb4_uncal.fits,crds,crds,crds,crds,crds,crds,crds,True,crds,crds,crds,crds,,/Users/spacegrey/opt/anaconda3/envs/mirage/lib/python3.7/site-packages/mirage/reference_files/mirage_data/nircam/darks/linearized/B4/Linearized_Dark_and_SBRefpix_NRCNRCB4-DARK-60090118261_1_489_SE_2016-01-09T02h46m53_uncal.fits,True,False,False,/Users/spacegrey/opt/anaconda3/envs/mirage/lib/python3.7/site-packages/mirage/reference_files/mirage_data/nircam/gridded_psf_library
William Blair,GO,00005,Galaxies and the IGM,NIRCam Example Observations,ALL,FULL,NIRCAM,NONE,1,1,STANDARD,false,False,001,None,NircamImaging,None,Simple Imaging Example,None,None,1,False,IMAGE-2,+47.52000,-10.09000,F200W,F444W,CLEAR,CLEAR,SHALLOW4,10,1,None,None,None,imaging,None,None,None,None,None,None,None,None,None,None,None,None,None,,sidereal,0,0,00001,1,NRCB5_FULL,1,IMAGE-2,47.52,-10.09,+0.000,+0.000,0.0,0.0,-0.328,-492.966,0.0,0.0,Simple Imaging Example,001,001,01,00005001001,01,1,V00005001001P0000000001101,2022-10-31 00:00:00,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,SUNMAX,1.0,None,None,/Users/spacegrey/polybox/thesis/simtools/mirage/NIRCAM/image2_data/source_catalog_file.cat,1.0,"1024,1024",None,None,None,True,None,None,None,medium,None,None,/Users/spacegrey/polybox/thesis/simtools/mirage/NIRCAM/image2_data/source_catalog_file.cat,1.0,"1024,1024",None,None,None,True,None,None,None,medium,2022-10-31 00:00:00,B5,NRCB5_FULL,2022-10-31,00:00:00.000,4,1,4,47.49481375685318,-10.08958464902842,jw00005001001_01101_00001_nrcb5.yaml,jw00005001001_01101_00001_nrcb5_uncal.fits,crds,crds,crds,crds,crds,crds,crds,True,crds,crds,crds,crds,,,True,False,False,/Users/spacegrey/opt/anaconda3/envs/mirage/lib/python3.7/site-packages/mirage/reference_files/mirage_data/nircam/gridded_psf_library
